brand,model,price,link,stock_status,vendor
KE,Arms KP-15 Polymer Stripped AR15 Lower Receiver - FDE | Integral Buttstock & Pistol Grip,$79.99,https://www.2ndamendmentwholesale.com/ke-arms-kp-15-polymer-stripped-ar15-lower-receiver-fde-integral-buttstock-pistol-grip,In Stock,Second Amendment Wholesale
ATI,"GSG-16 Carbine - FDE | .22LR | 16.25"" Barrel | 22rd | Faux Suppressor",$299.95,https://www.2ndamendmentwholesale.com/ati-gsg-16-carbine-fde-22lr-16-25-barrel-22rd-faux-suppressor,In Stock,Second Amendment Wholesale
Polymer,"80 PFC9 Pistol - Black | 9mm | 4"" Barrel | 10rd",$429.99,https://www.2ndamendmentwholesale.com/polymer-80-pfc9-pistol-black-9mm-4-barrel-10rd,In Stock,Second Amendment Wholesale
LWRC,"IC-SPR Piston AR Rifle - Black | 5.56NATO | 16.1"" Barrel","$1,749.99",https://www.2ndamendmentwholesale.com/lwrc-ic-spr-piston-ar-rifle-black-5-56nato-16-1-barrel,In Stock,Second Amendment Wholesale
Garaysar,"Fear-120 Tactical Pump Shotgun - Black | 12ga | 20"" Barrel",$249.99,https://www.2ndamendmentwholesale.com/garaysar-fear-120-tactical-pump-shotgun-black-12ga-20-barrel,In Stock,Second Amendment Wholesale
UnBrandedAR,"UAR-C CARBON SERIES AR Rifle - Black | .223 Wylde | 16"" Barrel | 15"" M-LOK Rail | A2 Flash Hider | Mil-Spec Stock",$439.99,https://www.2ndamendmentwholesale.com/unbrandedar-uar-c-carbon-series-ar-rifle-black-223-wylde-16-barrel-15-m-lok-rail-a2-flash-hider-mil-spec-stock,In Stock,Second Amendment Wholesale
Standard,Manufacturing Switch Gun Pistol - Black | .22 Mag | 5rd | Single Action Folding Revolver,$379.00,https://www.2ndamendmentwholesale.com/standard-manufacturing-switch-gun-pistol-black-22-mag-5rd-single-action-folding-revolver,In Stock,Second Amendment Wholesale
IWI,"MASADA Optics Ready Pistol - FDE | 9mm | 4.1"" Barrel | 17rd",$384.00,https://www.2ndamendmentwholesale.com/iwi-masada-optics-ready-pistol-fde-9mm-4-1-barrel-17rd,In Stock,Second Amendment Wholesale
IWI,"TAVOR TS12 Bullpup Semi-Auto Shotgun - FDE | 12ga | 18.5"" Barrel","$1,120.00",https://www.2ndamendmentwholesale.com/iwi-tavor-ts12-bullpup-semi-auto-shotgun-fde-12ga-18-5-barrel,In Stock,Second Amendment Wholesale
Century,"Arms Romanian Draco Stamped AK-47 Pistol - Black | 7.62x39 | 12.25"" Barrel | Wood Handguard",$799.99,https://www.2ndamendmentwholesale.com/century-arms-romanian-draco-stamped-ak-47-pistol-12-25-barrel-7-62x39-wood-handguard,In Stock,Second Amendment Wholesale
Heritage,"Rough Rider Revolver - Black | .22 LR | 6.5"" Barrel | 6rd | Cocobolo Wood Grips",$109.99,https://www.2ndamendmentwholesale.com/heritage-rough-rider-revolver-black-22-lr-6-5-barrel-6rd-cocobolo-wood-grips,In Stock,Second Amendment Wholesale
Zastava,"ZPAP85 Alpha AK-47 Pistol - Stained Wood Handguard | 5.56NATO | 10"" Barrel | Booster Brake | SBA3 Arm Brace",$949.99,https://www.2ndamendmentwholesale.com/zastava-zpap85-alpha-ak-47-pistol-stained-wood-handguard-5-56nato-10-barrel-booster-brake-sba3-arm-brace,In Stock,Second Amendment Wholesale
